actor_entropy,actor_loss,actor_target_entropy,alpha_loss,alpha_value,batch_reward,critic_loss,duration,episode,episode_reward,step
-1.197893514590604,0.6483152151107788,-2.0,0.0803171812556684,0.1000843251357235,-2.077782974072865,293.67466539655413,1.6133129596710205,97.0,-238.47597741712386,10035
0.8128260327710046,1.6604781879319086,-2.0,0.27997626761595407,0.09952650116954255,-1.6834064876039823,320.6073585510254,1.678959846496582,98.0,-68.70605935049939,10125
0.3004754177756666,2.017216057289304,-2.0,0.2265939920202015,0.09847000942358443,-1.6587746263019683,298.13389045234743,2.3730862140655518,99.0,160.58404450841016,10252
-0.2338672462998137,2.1652765644472196,-2.0,0.17182888267403942,0.0972603060355629,-1.7463143186717383,255.1454880951488,3.213559865951538,100.0,-226.11447718348143,10429
-0.5365317626241243,2.558238520937146,-2.0,0.1403823002540278,0.09589652963605096,-1.7302911528298315,239.29900222004585,3.923386335372925,101.0,101.34613494439284,10641
-0.8263075206014845,2.71823185549842,-2.0,0.11126451685472771,0.09479224039740705,-1.6878292542916757,221.93901487633033,2.4609415531158447,102.0,-285.8243707493028,10776
-0.9610339790941721,2.9610926712373176,-2.0,0.09735863259338949,0.09366579235476097,-1.6521628105257409,221.82474607827672,4.715867042541504,103.0,98.59402661673579,11025
-1.0915647724340127,3.095366274201593,-2.0,0.0842711663436751,0.09275622928810955,-1.6481153777865476,224.99212847754012,1.5928528308868408,104.0,-429.4612719207865,11111
-1.206689981619517,3.1618469149978075,-2.0,0.07314941262205442,0.09220858175480462,-1.7000639695812154,217.39808560830576,2.599858045578003,105.0,-317.32957731800207,11246
-1.2447099428752373,3.273983164080258,-2.0,0.06907615472359219,0.09146815574882247,-1.6608560714742233,206.31619476175857,3.21742582321167,106.0,-332.4753635611985,11420
-1.2591987208083824,3.646313249623334,-2.0,0.06718174566825232,0.0906812154273769,-1.7260845917242544,191.42713317871093,2.554643392562866,107.0,-373.53330587958135,11555
-1.4411690170948321,3.7210656881332396,-2.0,0.05033701377419325,0.09007172766135335,-1.8213229415508416,165.52407599962675,2.406334161758423,108.0,-443.9152073811217,11685
-1.5671736278395723,3.85193663749142,-2.0,0.03872316934906198,0.0894510215913112,-1.688477087352011,174.9708705570387,3.916111469268799,109.0,-422.518102843394,11892
-1.6912859294725502,3.874069707289986,-2.0,0.027463865674951154,0.08897537460553373,-1.7372660748336626,194.08130105060079,2.136871814727783,110.0,-359.33698818813986,12007
-1.7234935242554237,3.888308215141296,-2.0,0.024509534655652684,0.08862361862117327,-1.6187605659509527,219.77242949913287,2.677722454071045,111.0,-53.702626288601415,12152
-1.885445883870125,3.958652850985527,-2.0,0.010125555810130511,0.0883612760147534,-1.6828081873555978,203.24966003894806,2.2972352504730225,112.0,-29.32415241598207,12272
-1.9044098499892415,4.07994253307149,-2.0,0.008436520541748167,0.08827542905775962,-1.791208514160868,171.79481495636097,2.568984031677246,113.0,30.888235170366585,12410
-1.9637226715479812,4.15523126680557,-2.0,0.0031980915307641437,0.08814807369399671,-1.6592963854335758,184.48020949429028,2.7586891651153564,114.0,128.81556737167782,12556
-1.9733687853587538,3.9135600234431798,-2.0,0.0023460885288035175,0.08803031786015124,-1.6190777710559616,196.66905152083194,5.895167350769043,115.0,-48.452533843357905,12873
-2.186466481950548,3.91401308175748,-2.0,-0.016453017471432095,0.08818626146150162,-1.5396765356183684,188.61519020322768,3.568087577819824,116.0,0.25769681516914034,13062
-2.203914030854191,3.763562905203019,-2.0,-0.018112027427248125,0.0888403012818509,-1.522810973027455,201.72571404704027,4.185579776763916,117.0,-241.42915788027395,13286
-2.125105357789374,4.0524888065728275,-2.0,-0.01119814560047121,0.0895161040746751,-1.612775857620812,170.68715008203085,5.703470230102539,118.0,-250.65113409158027,13594
-2.206673121267511,3.7494605349939922,-2.0,-0.018620022105110823,0.0900810446571654,-1.5836266414370648,158.85723951620648,2.3845152854919434,119.0,89.85823507114142,13723
-2.1834006178669814,4.053722079934143,-2.0,-0.01662688643711324,0.09063882658457642,-1.5846191701002237,171.016927905199,3.087733507156372,120.0,-386.1619235688568,13887
-2.2597902507233103,4.115942750474532,-2.0,-0.023731455453102002,0.09134190019169845,-1.5608368525616556,191.2499039533327,2.5665442943573,121.0,-291.1050826589325,14026
