step,episode_reward
67,-107.62238520796274
211,-427.94195761057796
308,-105.45280726970158
376,-110.63789792137477
502,-223.09133035606925
626,-91.44420560645533
726,-246.49983062267682
828,-314.5383985318724
893,-64.69824396710976
978,-69.72337841108931
1056,-108.62795206267359
1184,-164.9240298982557
1318,-65.08556474316848
1440,-3.163591725564018
1544,-82.8092148964665
1622,-126.56974829523406
1691,-145.12626471088169
1759,-53.528131467094724
1828,-150.0826661342661
1966,-179.83931826863684
2065,-151.3049383071913
2183,-195.18770728461945
2308,-92.95295443151771
2454,-31.647770683793553
2566,-16.08429626343407
2668,-82.85858036066051
2779,-117.64402229078118
2889,-142.60759430097886
2962,-199.38650526795738
3065,-235.26531530368538
3227,-202.64067285798367
3294,-71.99174721647461
3413,-150.6291493176737
3494,2.022009820748437
3568,-71.56650604374022
3672,-77.53004858281031
3770,-141.51070339069062
3844,-139.75926827210017
3958,-242.73886285277445
4039,-85.53521765749414
4152,-137.69800251141555
4258,-61.24726881030177
4369,-94.00786612123522
4460,-116.54369589524873
4537,-66.89228880593993
4632,-133.31023210060718
4728,-233.13821535421408
4848,-136.37994099287172
4932,-122.60618575131389
5078,-54.3970351091593
5183,-62.193769667959714
5251,-85.91887953419443
5399,-203.71185988045107
5563,-333.465245508747
5665,-81.02972516004247
5800,-100.57462234063716
5914,-0.9472757589239222
6017,-50.4243627047553
6169,-144.5018440443974
6286,-86.05791681290168
6454,-46.32955834022857
6611,-123.97997308495151
6716,-14.663739389376886
6805,-143.46639049347243
6929,-105.46836552691536
7022,-121.3288721416959
7209,-90.06079269897425
7351,-170.473355219947
7503,-179.76214266912916
7617,-193.3452495810411
7760,-20.40979339768515
7918,-180.58276060061706
8076,-400.80018265278653
8179,-121.83678290334508
8371,-5.377644386503647
8511,-81.48367849568288
8644,-61.620496515832954
8736,-63.21907512940285
8849,-0.25648618916002874
8977,-75.68637699820556
9107,-110.90405804274177
9199,-40.13407693765954
9316,-91.7983567641752
9469,-42.0432295479076
9563,-91.3448131524381
9745,-132.46082742340755
9918,-55.72023855476691
10000,-83.79557289491629
10196,-18.50552404259591
10391,-120.36519256630882
10563,-9.15995014977105
10704,-133.17362728190858
10796,-90.96580612696596
10944,-98.63025005661531
11128,-1.095858801085086
11269,-54.918899236548285
11411,-49.23839012174875
11542,-215.18408395343786
11696,-60.00297389759934
11840,-27.882733331506117
12180,-98.82377086672109
12369,-46.8437597484747
12533,-121.8812690790161
12733,-49.447150438226345
12841,-60.62056472185182
12987,0.07970542315366913
13130,12.678490577917785
13369,-96.18480162964887
13444,-49.30687602544501
13656,-149.6383859555549
13806,-68.97755396633781
14042,-158.92110415265358
14149,-50.97442334268531
14247,-21.989022933153308
14347,-4.568483909324698
14530,-56.83568171978896
14744,-67.4815492332299
14857,-20.755412957810876
14986,-79.11107665058702
15125,-21.378879646890937
15398,-16.52451931655284
15615,23.771697404546956
15831,-57.73961836261512
15919,-40.779317203230775
16126,-36.23183667382136
16236,-17.356177103726594
16314,-99.39733073845656
16489,-54.46907401184777
16635,-65.24194853028483
16884,-227.1756891111325
17884,-9.373262334740804
18069,-81.36324777257902
18185,-39.132805423740095
18317,-188.80083942619945
18426,3.6050421580967793
18609,-85.41855283109399
18801,-90.03440074338113
19398,-246.13660969252544
19585,7.99757557360256
19768,-26.213867784490787
19939,-96.38080374282808
20029,-34.86085052899931
20137,-56.60709522074678
20225,-47.214468440561944
20335,-81.64013263692681
20552,-45.17667578184143
21040,-108.47292181602994
21267,-45.44371794837846
21362,-54.070037512659056
21629,14.094273991635788
21715,-48.427544130984636
21920,-128.7250585981188
22101,57.30768758393623
22197,-15.241802651985552
22297,42.96206363157319
22438,-44.42720839928761
22601,17.153785005497866
22840,-150.61554796330736
22970,13.676287748058527
23432,-62.278426561892076
23623,28.869117679226406
23873,-55.76213507633468
24087,-257.21694719681744
24541,-49.289123068145756
24664,21.366073182615622
24883,-41.964313242603566
25053,14.122802602208594
25184,56.464409068864825
26184,55.517891527327365
26358,-14.38355537036783
27300,-283.3342068863203
27664,-76.63276970312762
28664,51.546142046836565
28827,0.8464315381025784
29804,-238.4482975702229
30804,-72.6667862771859
31786,-275.81898113484755
32122,-173.8259766256408
33122,-48.75960115927545
33267,-28.045438238848675
33466,-89.96574928860505
33721,-71.4146923703989
33860,-9.028116732223694
34860,30.780603753897786
35215,-8.013069318757914
35481,-25.247981044014622
36481,22.003223909926323
37481,-92.61772888789031
37859,-102.05984866449545
38154,-62.942720942002865
38413,13.152341384037882
38993,-299.20571900475466
39110,-15.989409173410024
39375,-94.76233421275508
40375,-129.162291745084
40625,-11.021825653460056
40711,-11.622149644158412
40847,-52.35710241439011
41501,-209.5370506949339
42289,-262.7465246135065
43289,-82.94989882968444
43506,24.887815841664604
43761,-40.053364442461245
43900,11.41778326465564
44645,-222.9070769801301
45645,90.35944284795754
46645,-3.9590265277671968
47271,-202.94264125895307
47835,-216.70308656441028
48145,-75.26232577362644
48740,-106.5103498896298
49740,-51.163621713443106
49844,-35.154371543972644
50844,87.97813808524421
51844,-8.36107923313311
52844,68.33036043610171
53844,-111.55159752098824
54190,-107.08210794569878
55190,32.48541152818079
55496,-136.95485778968907
55821,-135.51640844826278
55915,-37.30931874645883
56915,71.36983991743764
57915,53.613668634880746
58591,-270.00530835993237
58822,-196.7254660093894
59822,32.94755982056192
60822,39.26087172278128
61822,-2.298137804317286
61952,-106.89609953250857
62457,-134.67094793927055
63457,34.713939382677296
63811,-303.34250311803623
64293,-213.02672249087234
65082,-268.2768629284141
65182,-97.09909053231158
65375,-118.70059442419686
65585,-80.30304531862845
66585,14.487393652183766
67386,-65.18975931599309
67473,-58.852649385505444
67591,-104.26291369358664
68591,42.56732598042544
68831,-41.83706287673236
69831,-11.956847877875639
70831,57.597042847295036
71743,-377.74364725585804
72743,-20.81328936660656
73743,49.77511453604564
74743,-66.30623204837119
74906,-58.23200624428806
75906,33.95328225593184
76906,15.362351298073875
76999,-113.40342408108917
77160,-29.941648190357427
77827,-131.61116889626572
78827,28.80833552868625
79558,-155.36904524843018
80558,32.833383168799585
81558,87.35625597377049
82558,1.4865316580616792
82739,-40.893797987447996
83739,31.286041300891725
84212,-164.26116622985728
85212,-49.875396158915194
85976,-251.1051675044875
86976,63.75883402096926
87976,98.62160244953785
88364,-124.12321819523855
89364,48.87196461878584
90364,108.49187975628499
91364,21.97822220650245
91568,-45.34387881699892
92568,-87.56411212361752
92693,-55.55133482938699
92806,-24.00757337767243
93806,60.38739738459988
94806,-111.60259815590004
94901,-116.42955035463125
95336,-30.337207166937887
95426,23.915060441236008
96426,93.75771714503065
96519,-42.00860034909273
96935,-106.51196300921195
97058,-122.62660091674094
98058,122.28361958502268
99058,33.74320968605056
99853,-167.174085871621
100032,-58.70383897948136
101032,70.26336764124079
101211,-74.8865692733238
102211,5.144306859989585
103211,108.37422548914304
104211,137.155467811804
104393,-46.13056275523725
105393,159.49648035032388
105692,-68.11750955841404
106013,-257.3769002887386
107013,43.91864790257203
107738,187.1462825149959
108074,220.42083305463115
108292,-68.58135705154584
108443,-59.268122099186876
109443,63.4824836207761
110443,123.84171219879057
110532,21.417409861029157
110964,-91.95407728788926
111876,-289.24461747003454
112237,-251.29368082908422
112450,-27.45754272652917
113450,81.68392367251798
113839,-245.03179344712294
113965,-102.25760590663904
114161,-82.2205636917218
114290,-63.52640372333255
114451,-49.48171154362275
114804,224.10661315688276
114923,-106.338223770125
115271,-122.76180281852933
116271,106.68578062262763
117271,114.79646067733479
117412,-170.94235659090998
117556,-33.83233294391992
118556,75.88106038666935
119296,247.2782655773411
120296,26.60814594467185
120601,-233.1725956769915
121549,143.08957729957478
121971,205.0052231505418
122090,5.121271986091571
122772,191.64474354194914
123004,-36.289359840864755
124004,102.87756427486885
125004,70.14738806705097
125606,-251.62727745086605
126430,178.73833223232327
127063,194.0442322754812
127344,260.5518039563235
128344,122.10804032316699
129344,46.97999009200804
129476,-94.69645870518885
129599,-390.6088949542343
129698,-213.73732516808644
130493,228.38815874653912
130716,-17.094010901987133
131502,270.17448208257326
132502,55.43486630540518
133176,-224.98332132060003
133306,-176.14366885817878
134306,43.82548241067114
134807,-88.8904137861004
135807,48.164531859543786
136807,95.417343813223
137807,105.61553583021534
138042,-20.31128709277553
138207,-9.673161772954955
138447,-236.12699593462443
139447,57.78313714128676
140447,87.6104090536399
140903,-60.27007158708011
141323,-156.31103824531442
142323,134.56105642404393
143323,123.11201450544917
144323,164.63365844058822
144429,-112.5671198479721
144559,-98.64925389388793
145559,101.42052731295492
146559,115.10723346420716
147559,106.37780596224451
147661,-120.60583615233794
148040,-39.45429633857816
148093,-84.49592838314419
148248,-50.484192447362666
148412,-3.199315699970228
149379,155.83065472056632
149652,-391.1816661900175
149770,-117.84782701204459
150770,102.52639963554059
151137,193.49523104452936
151249,-488.91640431255155
151683,-224.23926485815338
152134,-94.21966789735957
153134,106.32592888805905
153945,197.6767229112403
154019,-29.767124567386787
154313,-105.0746854781046
154455,-227.16447673247336
155455,84.36958173267472
156272,238.10214507768802
156378,-144.66242411066446
156467,-110.1855810805088
156582,-292.03483838820046
157255,-80.69957154640997
157367,-108.71092067768615
157442,-343.85310978567304
158021,184.68534340292587
158358,178.46806662470112
158877,-152.43176445603632
159221,-70.1195859570146
160016,210.7866495363097
161016,151.66352010047436
161367,-243.7375377601094
161972,223.9895724401751
162710,235.6293540803842
163657,167.2512056818003
163785,-135.56475151358194
164406,179.96987999427674
164478,-264.55335955707824
164570,-338.7354917152797
164732,-25.767268956643875
165223,198.0090376931471
165298,-104.33608619903964
165847,183.41722305137222
165926,-108.75274049205704
166315,-174.76066405818455
166416,-152.89542970844815
166884,-95.96397557617614
166996,-217.0968296405511
167481,-281.56879608318894
168481,-14.596591538431765
168549,-103.60082631379727
168654,-153.4694621407063
169383,256.2628633438777
170342,142.55535154444675
170987,172.51213111517245
171095,-105.62819532654926
171949,204.9391413153164
172949,41.56913008229912
173575,180.23802466678194
174509,236.7441058437195
174592,-373.8985677041999
175592,75.194218990917
175876,208.8083924908429
176151,-54.45821459450603
176347,-70.4322107254377
176608,-189.63902213374337
177608,105.44643414992385
178026,136.36872740825507
178330,-184.46455940762576
178771,212.67438653748064
179771,-115.59775978308576
180073,254.0447897368558
180214,-28.7046514731166
180490,230.93714528685967
180862,-357.1512958892478
181128,218.37125561337234
181237,-95.31456895462779
181870,186.63670127423205
181997,-38.69180341290139
182100,7.195186720054323
182860,176.56067522836855
183002,-69.13122267625002
183101,-123.07622084593986
184101,115.52033233617486
184206,-53.10133247928506
184547,169.56418183909966
