actor_entropy,actor_loss,alpha_loss,alpha_value,critic_loss,duration,episode,episode_reward,step
1.3756052123175726,-0.06120433985359139,0.0017011628698027279,0.09979159653690321,256.6370107014974,0.7226793766021729,107.0,-516.1196918187982,10045
0.9844377931693326,0.11045997388061116,-0.03765963079691257,0.10026246996026673,261.01015277530837,0.6718227863311768,108.0,-75.20119783621014,10137
0.15497994586155656,0.35582664073183295,-0.12285006289066894,0.10203486014288478,253.56875188163158,0.6390402317047119,109.0,-389.8011010673854,10226
0.030840939951238332,0.740079707927532,-0.13760151506007254,0.1036339767458111,249.3083037041329,0.8341951370239258,110.0,-742.4558373772602,10337
0.01824070791201305,1.1748212612876596,-0.14108534157276154,0.10526123812395902,238.8736105852349,0.9261860847473145,111.0,-916.656029423203,10466
0.16673807026818394,1.9187161665696364,-0.12731025654536027,0.10687546714275463,252.56351737976075,1.0132052898406982,112.0,-752.4968051231948,10596
0.39834195689965285,2.1583929226885203,-0.10461880934382806,0.1088812852496006,215.85024473988886,2.138747215270996,113.0,-289.49860611891756,10885
0.2701920656242756,2.2054459585083857,-0.12137966873970898,0.11150771873116007,181.7863339510831,1.4386188983917236,114.0,-282.5350639493365,11083
0.2587248214134356,2.402816853387569,-0.12555991837043104,0.11415137213889841,166.85725200854665,1.8159246444702148,115.0,-380.50189361447985,11329
0.24550543285551527,2.7522500043823603,-0.13168193882419948,0.11829918118268343,144.45909531116484,3.1626086235046387,116.0,-301.7800810675278,11749
0.23731593510934285,3.150307620848928,-0.13774959556758404,0.12285551614735772,127.79757207461766,2.0604960918426514,117.0,-240.37181535801005,12029
0.23396420009530983,3.364127747037194,-0.1426466086081096,0.12684183865861395,105.3203762382656,2.2980453968048096,118.0,-89.6834065578934,12337
0.2423736321181059,3.7914832216501235,-0.15205413854122163,0.13626585135618427,86.37115925121307,7.371135234832764,119.0,-70.54186894735709,13337
0.2668694061636925,4.028981771767139,-0.16571653297543526,0.15182640453311347,71.93515656995773,7.330347776412964,120.0,-28.65789577211795,14337
0.3178234581798315,4.180371972322464,-0.1758293301165104,0.1690030185730972,67.93378614521026,7.378253698348999,121.0,-19.595228700537696,15337
0.3548746079206467,3.9022095039486886,-0.18863244228065013,0.18794430185954863,66.41213213205337,7.441462278366089,122.0,-21.864146707579195,16337
0.36182591841045747,3.789823363561415,-0.1994628095525806,0.20011322258727676,72.33594248927919,1.2676050662994385,123.0,-180.72997275138684,16514
0.3764360920190811,3.5836053522527216,-0.2094431234151125,0.2133540529713476,60.239507383823394,7.421498537063599,124.0,-48.04080689629077,17514
0.4219633218944073,3.0071186055094006,-0.2222653822898865,0.23739089152654005,60.847743056297304,7.387859106063843,125.0,-26.879580106148005,18514
0.47204368779063227,2.412975756406784,-0.23385796973109246,0.2638599957037792,55.918211132526395,7.436638593673706,126.0,-52.339863217861584,19514
0.5042019934654236,1.6388296174034476,-0.2505186251997948,0.29335008929738515,55.43125248217583,7.387274265289307,127.0,-42.09160414416475,20514
0.5441874044239521,0.7555641953647136,-0.26544309183955195,0.3260957781218641,52.71966974067688,7.357156991958618,128.0,-50.95612535504438,21514
0.5886359296143054,0.0004993879795074463,-0.27885092739760875,0.36223681703978444,52.64817494750023,7.3829004764556885,129.0,-18.603435392257495,22514
0.6254985126256942,-0.7044314852878452,-0.2949002692103386,0.40252607654032496,50.49511537694931,7.350209474563599,130.0,-11.593923785702065,23514
0.6619838383197785,-1.8112112559229137,-0.3112490915954113,0.44710851532357565,51.16055906152725,7.449155569076538,131.0,4.270675258618926,24514
0.7005485219649042,-2.229541439966983,-0.3138661655077494,0.47696877365272555,47.44045764854155,1.8565747737884521,132.0,-163.61581861451702,24763
0.7277489778995514,-3.030209871739149,-0.32086548256874087,0.5088983099855307,49.47871012496948,7.320340394973755,133.0,-44.85385350976869,25763
0.7683312219381332,-4.206986155837774,-0.3328507262170315,0.5643699592754944,48.358240214824676,7.378494024276733,134.0,2.776540005989573,26763
0.7947055218750949,-5.204263132316461,-0.3486527084841012,0.6183408753448296,47.12759865812687,5.738144636154175,135.0,-493.3401466725489,27535
0.8200256817340851,-6.1567584623098375,-0.36530005517601966,0.6788259516228589,46.41984664583206,7.442463397979736,136.0,28.769395979091446,28535
0.8522151232361793,-7.113206706047058,-0.3812417379915714,0.7533280306125636,45.13494891738892,7.406412124633789,137.0,16.631605952371203,29535
0.8916404910087585,-8.702109934091569,-0.3898661130666733,0.8353715477838106,43.65418696594238,7.309353828430176,138.0,14.629597226347062,30535
0.9233958567976952,-10.434784511566162,-0.40269489121437074,0.9259424917619301,43.333451313257214,7.402531147003174,139.0,-3.6453536683861323,31535
0.9420515833229854,-11.86642437369846,-0.41952485794370825,1.007312997956082,37.380901364323485,4.789266586303711,140.0,-170.39939442786942,32173
0.9671006331443787,-13.216143654346466,-0.4291565715372562,1.0966933744065253,41.46112445688248,7.384063005447388,141.0,30.718580315410808,33173
0.9939963365197182,-15.438507214546204,-0.442988258600235,1.216116135617991,41.55614472007751,7.478545665740967,142.0,-13.910379636526722,34173
1.0244158453345298,-17.73366960811615,-0.4497275892198086,1.346655588392416,40.15273315811157,7.392171144485474,143.0,-69.36056932319808,35173
1.0487267150878907,-20.029072165489197,-0.46185989287495616,1.491498990914582,43.709678353309634,7.37229585647583,144.0,10.044756911346138,36173
1.0822049766778945,-22.802280488014222,-0.4556418966650963,1.6494113209461885,41.43640311527252,7.330784559249878,145.0,-36.54352189122649,37173
1.1037991480827332,-25.895539207458498,-0.46431159844994546,1.8246070945011443,42.0103994679451,7.380873680114746,146.0,-20.671278214565795,38173
1.1293962417267993,-29.241047140134494,-0.4588238040922986,2.0030790123505806,39.726049331434766,6.527708053588867,147.0,-210.82063363010462,39051
1.1424760609865188,-31.229746091365815,-0.45569922365248205,2.109040896318345,45.12698987722397,1.1653330326080322,148.0,-24.41908824031688,39211
1.153292280435562,-33.84322009468079,-0.45840994226932524,2.2350967812562343,40.384973561763765,7.3987648487091064,149.0,20.805449576366765,40211
1.1664464768241434,-36.565510458104754,-0.45493229627609255,2.3677080166764455,39.94395078490762,1.26731276512146,150.0,8.965318801783098,40381
1.185374505996704,-39.62034128379822,-0.4336994045674801,2.506116749789611,41.46527500295639,7.364747524261475,151.0,-8.29511619739008,41381
1.2023944556713104,-44.81964756774902,-0.430913486212492,2.7635246049402817,44.325812059879304,7.405893564224243,152.0,61.640146042256454,42381
1.2188991769667594,-48.144010433073966,-0.40783359716015477,2.920022488967661,43.21065742738785,1.1695001125335693,153.0,5.473773392112037,42536
1.2248152746873744,-49.624534606933594,-0.39497350033591777,2.953027197586049,52.13628198960248,0.6265778541564941,154.0,-21.04074765494859,42621
1.2222619405040493,-50.15209638917601,-0.40705420173607865,2.986281471055049,54.74863225144225,1.1239328384399414,155.0,9.09360349191735,42775
1.2263040811784807,-51.216823454826105,-0.3996486106226521,3.021518998745952,40.03812202330558,0.6608772277832031,156.0,-18.070348500353518,42868
1.2221900393565497,-52.172591813405354,-0.4163209073245525,3.0529810345775177,41.73716117540995,0.859602689743042,157.0,-25.44165505305176,42988
1.2346494007110596,-55.51958152389526,-0.39890047487616537,3.2239889744791026,47.921794394493105,7.405196666717529,158.0,22.769903931352506,43988
1.2433971527519576,-59.47118419682214,-0.39125141063961416,3.3974304650244918,45.10752056716779,0.7862863540649414,159.0,35.86631158635089,44097
1.2492912077011271,-61.32546556442179,-0.37646250131933445,3.4447101984758515,59.103814125061035,1.3665227890014648,160.0,-46.185770949289605,44284
1.2509640428457367,-62.395897790287314,-0.37710809205355267,3.504869794870795,58.310072261295964,1.3441267013549805,161.0,12.38983060857008,44462
1.2586243515014648,-67.39555968093872,-0.37017006036639216,3.708272352451598,57.98417648458481,7.378532886505127,162.0,20.899714481566132,45462
1.2714863366227809,-72.30598276029757,-0.3403672743134382,3.9087298801632047,63.635473576987664,0.9626092910766602,163.0,-44.26142829526765,45585
1.2737975286882977,-73.28903316527374,-0.3351083169149798,3.9533207294692136,54.42215590513954,0.9234910011291504,164.0,24.801460210958368,45714
1.2724242333708138,-74.79742080863865,-0.34389275175401535,3.9920469428477987,50.79997826718736,0.6814844608306885,165.0,-7.81145349167457,45801
1.2763151975778433,-75.3642579298753,-0.33163352173108324,4.032119223688268,70.56127986907958,0.9314825534820557,166.0,-7.072520623438905,45931
1.2745857278286423,-77.31633497206546,-0.34351722410370633,4.089709661750819,57.222730136049385,1.311378002166748,167.0,33.785053218712875,46112
1.2785447789430617,-82.77830575561524,-0.3463925846517086,4.330934264552438,63.738281599521635,7.378740549087524,168.0,76.32319607975967,47112
1.2885478099187215,-88.36442224411738,-0.3198968861784254,4.568665474731087,78.0859459014166,0.8772313594818115,169.0,-26.124449270687066,47217
1.28709753998765,-89.33377274521837,-0.3297984820228439,4.614253823099762,66.2292299700213,0.807091236114502,170.0,-26.843916698555446,47328
1.2871986263676694,-90.92866580360814,-0.3325657367706299,4.659246349479098,65.28501619037829,0.6854126453399658,171.0,23.45790606233774,47423
1.2906394402186077,-92.0107555112977,-0.32001572696195135,4.710734893538869,66.42958738492882,1.0174360275268555,172.0,-14.523906141118246,47561
1.2912648768769097,-93.20425540884746,-0.3205530205645512,4.762383532305967,60.551120576170305,0.700293779373169,173.0,-69.85145441718197,47658
1.292703696151278,-95.2949681637892,-0.317088939805529,4.815203225292002,79.57658567713268,0.9820311069488525,174.0,-32.920338641064475,47792
1.2958626924899586,-96.28485522353859,-0.3053457257256173,4.869539192501641,73.52182142358077,0.8798141479492188,175.0,-67.62118051886404,47906
1.2964207887649537,-97.39700358072916,-0.3052313413222631,4.911640216643287,81.34407474517822,0.5740101337432861,176.0,-43.536023282399626,47981
1.293674674630165,-98.23827486038208,-0.3210298292338848,4.947071383583349,73.78130863904953,0.6134343147277832,177.0,0.6339555803490953,48061
1.2977403151361566,-99.36728239896004,-0.3036661213427259,4.992178530406932,72.23400655545686,0.8330509662628174,178.0,-27.529052004825104,48175
1.297193939172769,-100.64508336707007,-0.3091362131924569,5.03690544118129,90.24616480477249,0.5735595226287842,179.0,-64.08287752037879,48254
