actor_entropy,actor_loss,actor_target_entropy,alpha_loss,alpha_value,batch_reward,critic_loss,duration,episode,episode_reward,step
-0.7378609167492908,0.7547008161959441,-2.0,0.1262772065465865,0.1000607539808127,-1.568275951820871,249.66436286594558,1.2153265476226807,85.0,172.55949463895513,10046
0.6883557799069778,1.7652539813000223,-2.0,0.26698018688222636,0.09929500921177246,-1.5231775794340217,279.5471162215523,1.925605297088623,86.0,-147.03998852139267,10161
-0.0728443910498172,2.1224790000915528,-2.0,0.18839999771118163,0.0976958085108402,-1.60270496737957,240.37797369003295,4.309929132461548,87.0,-277.3889565271802,10411
-0.4747671586803243,2.499622957615913,-2.0,0.14675365789215775,0.09619675438493251,-1.6242134787991076,212.67991741397714,2.707176446914673,88.0,-249.92646709482779,10569
-0.7951475761153481,2.80385165921809,-2.0,0.11451568850204705,0.09500823557891105,-1.6070858613013081,203.71763412804125,3.6212689876556396,89.0,139.79197232216814,10778
-1.080446901321411,2.9474467078122224,-2.0,0.08617253559556874,0.09371677337292379,-1.5408780960061332,175.54504186803644,4.6490442752838135,90.0,-151.24660241560633,11053
-1.3077500915123244,2.9314585968599483,-2.0,0.06392837543103655,0.09231677893536677,-1.4361247090970055,181.85581183999273,5.103439569473267,91.0,-129.08210513392268,11348
-1.3717765643128328,3.0549388181950365,-2.0,0.057289270035523386,0.09120822353700697,-1.5117376799961286,165.02761619644505,3.9612345695495605,92.0,-332.2459966289564,11572
-1.4276370079621026,3.0554684234702068,-2.0,0.05161742585832658,0.09017303303603585,-1.467071411402329,158.7034511980803,4.015719413757324,93.0,-544.3944169271671,11802
-1.6684947951928082,3.1857887514485608,-2.0,0.029438770509066355,0.08870280845482853,-1.509908203585636,137.0299790753614,10.239794492721558,94.0,4.482099798338439,12398
-1.9444561762988848,2.7816333276145335,-2.0,0.004865595188342743,0.08749893993951664,-1.4073333772502734,123.51490899766554,15.143810987472534,95.0,-41.8388806337364,13250
-2.086830190181732,1.7437217282131314,-2.0,-0.007647003601538018,0.08791358499574928,-1.2880904532000423,138.05038303232192,17.645988702774048,96.0,154.62343676706843,14250
-2.1440448622370876,0.28437353346110905,-2.0,-0.013093253783069464,0.09090733665248449,-1.2217903778933572,122.2947017340025,16.32341718673706,97.0,-341.001736282681,15196
-2.2664486633652943,-0.7724198971908479,-2.0,-0.02572448717348296,0.09682049060004803,-1.1353242707056774,127.32871124617377,13.914910078048706,98.0,-136.6334180241131,16003
