actor_entropy,actor_loss,actor_target_entropy,alpha_value,batch_reward,critic_loss,duration,episode,episode_reward,step
-5.526498317718506,0.13987188041210175,-2.0,0.010000000000000005,-2.7280092239379883,324.76116943359375,2.927764654159546,98.0,-133.09053602843414,10001
-1.3569411527620168,1.5992936773432627,-2.0,0.010000000000000007,-2.0011000780977755,257.4203860698602,1.967191457748413,99.0,-256.0487818692666,10118
-1.7306228952670315,2.5098436359965475,-2.0,0.010000000000000007,-2.0225528243484847,256.3960998955123,1.9470796585083008,100.0,-270.9552802905289,10227
-2.0524442859162066,2.500427962245798,-2.0,0.010000000000000007,-1.8815019679696936,228.50365715457085,2.289168119430542,101.0,-194.44851278450972,10360
-2.248205175939596,2.8588426045651705,-2.0,0.010000000000000007,-1.9699474581569996,215.99496861223903,1.7769896984100342,102.0,-252.16887639972973,10466
-2.2788711814653304,3.0141371431804838,-2.0,0.010000000000000007,-1.7820136887686593,216.5536000388009,1.3933181762695312,103.0,-41.52219192760763,10550
-2.421923906615611,3.3488569206066345,-2.0,0.010000000000000007,-1.9035446189260214,183.3158363572667,3.142549991607666,104.0,-404.52622015989994,10728
-2.620940285025483,3.8034803620274205,-2.0,0.010000000000000007,-1.915857175008003,176.9061975602659,3.2572948932647705,105.0,-1.9264364094778017,10921
-2.924429511183684,4.216996159322461,-2.0,0.009999999999999981,-2.0233281836373167,160.09905448989196,3.95266056060791,106.0,-144.608856445917,11148
-3.278014493468624,4.333693800356564,-2.0,0.010000000000000007,-1.8160569758823253,145.43529281040165,2.5919127464294434,107.0,-45.89373078419579,11297
-3.6698795577936005,4.5048432810264725,-2.0,0.010000000000000007,-1.8831327459965532,126.63143776731881,3.018505573272705,108.0,-246.13194948557552,11468
-3.929295403616769,4.651542418108785,-2.0,0.010000000000000004,-1.7689932828466293,132.75525474313446,3.5282583236694336,109.0,-364.50973277798266,11671
-4.4175170066273814,4.776248393371759,-2.0,0.009999999999999957,-1.8110377354166223,139.02108841973381,4.581546068191528,110.0,48.99852053185535,11930
-4.5785414000688975,4.954023785510306,-2.0,0.010000000000000007,-1.9354299104819863,144.62676770808332,2.0317864418029785,111.0,-45.15133146757255,12048
-4.892907018940818,4.997497778058551,-2.0,0.00999999999999997,-1.840612156932324,137.76554571135773,4.111692667007446,112.0,-180.60450925066505,12287
