step,episode_reward
13532,-49.04709608166068
13655,-38.38013580200831
13968,-155.93897971029304
14095,-77.86275789913734
14324,-162.1413126324333
14481,-72.39192104964133
14791,-92.22693507953858
14911,-146.91537394262988
15049,-137.1592089406178
15204,-3.1198897590049626
15385,-25.472778421017154
15723,-66.35079838870047
15988,-37.16276261321965
16154,-138.1968384471394
16410,-128.54066010794355
16606,-25.419670224316107
16752,-14.547562799554697
17044,-126.0404402755098
17182,-1.253644969940936
17378,-100.40729759769668
17496,-61.464626202650265
17629,-44.85836672371701
17716,-6.847611008762058
17831,-33.53675316222537
17970,-80.77660852344908
18080,-118.05864277581307
18374,-89.56126698025612
18540,4.208460005162223
18718,30.175689103855575
19037,-183.98766704627735
19298,60.017281375855134
19552,17.68480765857113
19744,-36.37078052997498
19906,19.618522192226976
20906,31.68114583378245
21184,-236.02518523430612
22184,12.715363944038522
22443,14.029710265411396
22733,-33.37612805534518
22831,-37.46384898727285
23019,27.19093898929303
23130,-19.34568936281744
23223,-46.46741189385765
23392,-37.16591942171483
23521,-25.628044390183874
23755,-145.38963654273218
24755,-69.5606652252652
25755,-79.22352876231253
25954,-37.317674926837825
26752,-349.3100664657376
26855,-54.158673768245045
27158,-393.3911537814034
28085,-334.83194869261274
28542,-66.51028627703073
28746,-3.2408971653292156
28926,-110.29458932376554
29331,-9.557125024254134
29476,-44.421448851638786
30457,-434.58165249574193
30988,-400.9245376014635
31136,-51.59243303341903
31327,-2.5442256229613065
32327,-37.35642630910653
32933,-51.142489093649644
33420,-319.59107605833583
34312,-433.4427689809843
34973,-279.4553073802962
35973,-77.1527084149477
36973,-16.07050037640959
37327,-76.38494045810691
38038,-156.13115519679604
38937,-229.2051949104965
39843,-363.0435729808675
40116,-27.953576894928858
40850,-249.57609333458987
41850,-42.65382897832879
41990,10.998505463558558
42343,-170.2638356325283
42515,-22.441509622272733
43515,-123.33470820106194
44515,-55.347261986108435
45515,-42.483992516668884
46515,-10.200253557827278
46860,-106.219541927176
47676,-294.3100192776459
48227,-270.5169076869254
49068,-260.2588138553999
49522,-403.54147601572396
50065,-124.81039115347443
50862,-326.95553276369947
51862,-7.2201146350935685
52862,-7.708369299226504
53862,-7.505102534408706
54862,-59.048989080596634
55862,-8.593208006838426
56862,21.12600030832138
57862,-49.381188815061115
58406,-157.79511780748751
59080,-174.53119900337575
60080,-64.52894204265526
60631,-141.05616760778102
61094,-45.87961249921156
62094,-67.59207361790048
63094,-103.04638081019891
64094,-17.68068622549902
64872,-313.9101008930653
65872,-24.110279554962197
66206,-144.86207088628368
67206,-14.25914332252427
67467,11.368764874498794
67571,-13.233755327256745
68571,-30.11525107301529
69571,-64.07147371146392
70571,-8.549656114591869
71571,-19.860160923474524
72571,-58.26123310719532
73571,-93.68468009078553
74571,-84.42490301231554
75396,-331.754821308528
75492,-5.432596928964912
76492,-89.47507799233617
77492,-15.442219464417288
77673,9.025388430269018
77767,14.224164424649274
78767,-65.01896662316881
79767,14.442654985885857
80767,-24.56561938283586
80826,-19.94922386773807
81826,15.328773469071804
82826,-111.39784635739284
83826,-52.33378612770175
84826,-63.608094229527886
84887,-101.47792846166581
85434,-165.25929438739647
86434,-65.91881845894113
87434,-35.260851909157736
88434,-63.6302897540117
89434,-73.29088609608436
90434,-63.75080562585989
91434,-52.097425783945056
92434,9.695263465981576
93434,-68.833908857737
94434,-68.05241186957889
95434,-94.83896361049666
96434,15.03732153202351
97434,-80.51653369810444
97600,-63.268247753436185
97684,-51.40490407108699
98684,-107.79253260368027
98745,-47.060394606530366
98807,-53.16674914552972
99807,-62.25288457517866
100807,-76.89673151604198
101807,-62.485698014481656
101903,-26.591084516202955
102903,-24.17475019459333
103903,-18.32264175767222
104903,-36.56466220623844
105903,-47.93454450018078
106903,-1.1340708129455317
107903,-74.60104084170119
108125,-53.25201603430986
109125,-65.52049525330106
110125,-89.6408146714925
111125,-83.34047905791877
111194,-17.088523802395542
111451,-92.18162143668631
111548,-96.78947458385518
111628,-74.7373527942279
112628,-112.58032535244158
113628,5.312640588193678
114628,18.680578558615522
115628,-54.877449664089404
116628,-63.312473555465246
117628,-27.97086100873125
117740,-198.04609757112684
117921,-99.05852180176582
118921,-51.679409524303466
119921,-64.6218070945744
120921,-15.191190899137599
121921,-45.283886353775465
122921,-42.999103731291825
123921,-90.64195320434881
124842,-186.87569350745525
125485,-135.5092401451666
126485,3.0163996725808015
127485,-7.25130912558418
128341,-185.83859667537735
128461,3.3409316725520597
129461,-36.967880837076834
129727,1.0478494970497678
130727,-56.090744952750796
130896,-37.50038919299132
131896,-30.152068425266933
132002,6.195428567422596
133002,-79.93571890261333
134002,-79.79116108382192
134826,-229.01585374096592
134888,-51.662821047243476
135104,-101.62503887961454
135254,-82.83954111797009
136254,-93.63172041488247
136328,-55.93104763217985
137328,-70.65133605526101
137414,-13.501344087705078
138414,-98.0952410081818
139414,-115.06832044636923
139480,-86.04666822282753
140480,-32.43248159437862
141480,-81.2416418912953
141588,8.836338775592253
141853,223.3375199044288
142853,-27.28124780801271
143567,-272.5337527842661
144048,-182.57809125281082
145048,-43.7338851193285
145463,180.47654588304977
146463,12.45948601737967
147463,-47.680764985685876
148463,-52.91326503743383
149225,-184.17786905377966
150225,-61.869335697445514
151225,-64.42023580287781
152225,-41.727958967023234
152307,-4.867579623397788
153307,-77.6603484034088
154307,-36.10633962143122
154455,-127.58203903242743
155455,-48.55721995381693
155521,-81.84244543840245
156521,-63.668399115797655
157521,-33.160501677928075
158492,-235.255335351776
158564,-43.399153873104936
159564,-25.96940462747016
159821,-99.38684114382951
160821,-23.95426115087488
161821,-55.62665340959688
162821,-56.71369504847538
162924,-1.1448810017551097
163170,-93.25538458594642
164170,-86.17320210857518
165170,101.73045184269266
166170,-12.24508254346388
166259,16.34999080655473
167259,-73.92020537846854
168259,-4.9127184008242955
169259,-21.93582664197432
170259,-40.332633481360126
171259,-44.73182389675594
172259,36.516467923326594
173259,-45.94858653088603
174259,-37.29938454981908
174973,205.03336353741744
175118,-11.94380783237905
176118,-38.60915236428654
177118,-53.108359904239556
178118,-28.63400873623993
178248,-15.559260732973868
178987,216.712842461207
179394,264.61510402110173
180001,225.64404698638623
180929,153.29267439005037
181929,-32.378182355554564
182929,-33.163409492218506
183929,-66.96126158519837
184135,-87.37944712505875
184699,176.15320310006305
185699,-14.508892466430744
186406,177.97554696732462
186510,-55.31229753230606
187510,-69.76924472204479
187961,265.3788634609527
188368,252.509839743024
189368,-27.15041006589723
190158,236.6717078445053
191158,-18.41987759143112
191865,263.87817937337485
192865,-51.46103231781698
193865,-55.66805366289034
194436,188.62481833524748
195173,206.63412317053943
196171,91.02779420173393
196587,-18.90220483079065
197287,-377.5274207342907
198118,263.6919465219377
198214,6.264519851224449
199214,-36.05051413555909
200214,97.27180200052138
200536,192.73988562838713
200700,-56.87278829223061
201700,81.54573841274083
202700,69.58643217741488
203700,102.6705162062371
203896,-21.582363693527284
204041,-37.858186463498015
204527,268.03599265364403
205094,260.4446714272416
205683,225.59355223143226
206069,234.01017806566085
206148,-57.7966012586777
207148,130.35588288935537
207969,279.342876752154
208080,19.673790725608754
208498,241.68338089626639
209013,244.84308363289767
209261,276.0957548129162
210261,115.77247640169392
210685,301.41981133812794
211685,31.76046192221312
212053,201.30382021257387
212941,119.7240232274491
213651,221.76650176658788
214158,225.69410758684813
214490,272.0679826726649
214607,-50.03283701895125
214786,-264.4835986254883
215119,219.28399051705998
216015,243.64609430466098
216198,292.8852533572465
217198,-48.997938178775904
217715,177.95215911863704
217912,-4.888031414472067
218198,242.3389246607053
218366,-100.25019316507017
219366,-86.53062258568394
220296,71.74315568091134
220773,232.02877887365383
221054,179.74866281018055
221694,277.5648830470328
222362,201.64199385407903
222964,202.51602535618497
223658,214.14640908122732
224380,-71.14514118079721
224748,291.7935540499303
225326,272.40292912846627
225724,287.88961769752467
225974,279.65742118628725
226264,243.07441338922447
226795,233.03778791331305
227226,212.50084341836106
227517,294.82810981441355
228008,225.8781388823521
228234,221.92515539757736
228669,190.37565007112184
228951,193.48627600862744
229323,258.28677032989344
229655,230.76966129418855
230655,-54.267499049304845
230794,-98.50057765702027
231074,234.90042284282194
231848,116.34098353443206
232452,-546.0557111454596
232600,-100.46496957497999
232812,-141.5196875334958
233006,-164.25813443787308
233440,274.12385669403415
233693,218.82199413736237
233914,262.5164667891947
234152,-50.52866695486077
234309,288.4837055052452
235309,82.32377936619771
235538,247.94835626447136
235790,259.5573993011096
236379,294.2182885419814
236944,261.8359002237016
237438,-283.2949967513978
237852,235.5312564604315
238147,248.21411911710408
238944,226.05352981978297
239884,119.70124356784278
239974,49.14525326488169
240695,171.12634887697743
240817,-3.811265194004818
241395,-315.66598071582064
241940,182.37914468880425
242868,268.45253183861706
243181,243.437217018079
243577,207.96537708956964
244160,284.73324712477086
244399,247.3333115987997
244783,239.4935111127308
244983,270.1521789258544
245260,246.3234661285168
246260,-69.99722986314765
246963,221.44292370726868
247563,191.6069199361794
247811,-22.87914384834697
248100,221.9627095492913
248270,262.0379692863429
248568,282.86703549775905
248849,276.2892465862144
249007,-26.29810736474907
249300,263.35641149634716
250300,-47.43616567508957
250560,239.74690550211585
250819,257.35165602064194
251386,244.10219937315827
252386,63.92218826909036
252526,17.816568870381204
252647,-13.7549342327317
252824,-53.64317368090721
253449,-124.88524466372647
253784,189.67521247431247
254115,253.6665006137025
254596,213.14424025744205
254802,227.36651540774898
255802,-36.83383323276777
256080,221.1375356643012
256362,236.93627574275908
256793,283.78515284628793
257082,238.7155875265911
257435,201.38470697166625
257775,230.56105902821605
257905,-13.584098005416621
258371,240.65773195753653
259058,243.63301044893015
259345,222.99632264228745
259783,207.21362971843422
260783,-51.335264920000625
260905,-18.522837968658393
261622,177.52536145152095
261712,34.55339651750458
262191,192.24165033969183
262805,226.68862654952264
263805,-105.35190305415101
264119,-34.143436492058555
264567,184.90507953514202
264945,240.55737440485814
265040,10.676955593063639
265457,200.507415460341
265707,236.8996768636542
265812,42.48752132475329
266023,234.84553440072514
266268,233.43967728803403
266554,203.74571399602678
266715,243.28088068719114
266967,253.61556334666005
267218,242.37315243469533
267329,30.37031825220035
267483,-177.82561382393362
267988,160.87191183663236
268464,242.38403722869992
269038,228.25331735469848
270038,-52.154427798988536
270550,215.28255462206494
270756,274.0124526111747
270949,215.81521142923853
271213,236.70621186351474
271543,291.80104287164255
271873,-66.33050429957788
272381,176.01914134173134
273318,108.6890581985999
273428,-8.347742287899592
273610,276.23608539303655
273724,-70.95389605787634
273829,20.761665971888107
274216,234.10238808419444
274419,237.38638775134004
275044,205.63475987908905
275285,249.1828231396529
275392,1.608256374107384
276012,258.39464072901416
276117,-10.327868595763462
276873,136.66469010070915
277118,265.5866557832759
277832,176.765092339149
278065,219.24904958253512
278265,252.7683187166336
278480,242.61581620509546
278696,259.13198960327895
278910,253.3779844645031
279009,14.970682310096933
279354,236.9684729515601
279610,282.51999705775734
280126,189.69928114851834
280411,217.57801367180522
280688,231.69124554531658
281134,218.62161580502482
281511,293.11510566518984
281721,259.9652702113036
281956,232.4503471329416
282062,-24.02468855001763
282274,275.79826166289644
283015,145.36271694489582
283448,175.57459478836012
283788,209.519035968968
284153,221.3680206301696
284724,-217.13132725898782
285199,226.2281978817496
286059,246.83521626450425
286294,255.50610098006996
286507,257.42821581475823
287293,197.11409817905695
287583,242.47118537310106
287971,280.7138584402908
288302,243.17592280674452
288756,288.31257467673487
289020,279.10225944192985
289406,251.24328617033902
289832,239.3686661892442
290127,267.7219286806522
290649,237.260645486131
290883,238.60287565439975
290988,-40.142967942540515
291253,258.41853676306647
291397,-0.7249107992789448
291643,221.29904925977928
292128,203.84991471379269
292387,275.6421403720096
292692,243.88752912803
292881,277.7808710713919
293128,279.51127710247965
