wall_time,step,reward
1777914715.3816066,10016,-2.8316402435302734
1777914715.8112342,10056,-1.9831520318984985
1777914715.9190989,10066,-1.0645880699157715
1777914715.9825208,10072,-1.3142311573028564
1777914716.0823653,10081,-2.79217791557312
1777914716.8598747,10151,-1.2117631435394287
1777914717.1202095,10175,-1.5787289142608643
1777914717.6796992,10227,-0.24674992263317108
1777914717.9516206,10252,-1.0278631448745728
1777914718.5265057,10305,-1.3909263610839844
1777914718.7323146,10324,-3.2406139373779297
1777914720.8750699,10522,-1.7744718790054321
1777914720.9750848,10530,-1.923828125
1777914721.8034098,10606,-3.0166850090026855
1777914722.3176358,10653,-1.8999581336975098
1777914722.459328,10666,-1.6878628730773926
1777914723.4411438,10757,-2.1599888801574707
1777914723.5275989,10765,-1.7794640064239502
1777914723.7378569,10785,-1.4615747928619385
1777914724.0787427,10817,-1.140284538269043
1777914724.355975,10843,-3.451117753982544
1777914724.4187071,10849,-1.2849375009536743
1777914724.7932456,10884,-2.18916654586792
1777914725.203646,10921,-0.9405055642127991
1777914725.877228,10983,-2.3868727684020996
1777914726.6801672,11057,-1.058040738105774
1777914727.0736003,11092,-1.4231408834457397
1777914728.0068097,11178,-0.8962270617485046
1777914728.6376119,11237,-1.5121641159057617
1777914729.905954,11353,-1.3671866655349731
1777914730.314564,11391,-1.1241426467895508
1777914730.5205712,11410,-2.2132151126861572
1777914731.3097343,11483,-1.915035367012024
1777914731.7080007,11520,-1.9678679704666138
1777914732.8853972,11628,-1.2689522504806519
1777914732.9535162,11634,-1.4714109897613525
1777914733.6461184,11697,-1.8657883405685425
1777914733.720235,11704,-1.0420360565185547
1777914734.4324899,11770,-2.357785701751709
1777914735.4527903,11864,-1.9169297218322754
1777914735.498018,11867,-1.5914143323898315
1777914735.8696291,11901,-2.017085552215576
1777914736.1392643,11926,-0.7005743980407715
1777914737.2506347,12029,-1.8045566082000732
1777914738.2041447,12117,-2.4578192234039307
1777914738.269129,12123,-1.5352524518966675
1777914738.595351,12153,-0.9973403215408325
1777914738.7666264,12169,-1.2423309087753296
1777914739.9269204,12275,-1.4940698146820068
1777914740.6689193,12344,-3.205765724182129
1777914741.1468053,12388,-1.3523430824279785
1777914741.1691015,12390,-1.1195762157440186
1777914741.5577984,12425,-1.1114929914474487
1777914742.1032543,12475,-2.238037109375
1777914742.3923805,12502,-1.4081146717071533
1777914742.5231664,12514,-2.805619239807129
1777914743.296791,12585,-2.1405346393585205
1777914743.480578,12601,-1.3263347148895264
1777914743.5018642,12603,-1.6865977048873901
1777914743.7720995,12628,-0.5701799988746643
1777914745.2314768,12763,-0.11062934249639511
1777914747.842296,13005,-1.5575324296951294
1777914747.8744183,13008,-1.9599494934082031
1777914749.5087023,13160,-1.2046010494232178
1777914749.582024,13166,-1.2213878631591797
1777914751.3430562,13328,-0.6210582852363586
1777914751.4091346,13334,-1.3303329944610596
1777914751.496256,13342,-1.3766283988952637
1777914751.9254587,13381,-1.529800295829773
1777914752.1109278,13398,-1.729085087776184
1777914752.3165023,13417,-1.6167404651641846
1777914752.5136642,13435,-2.9126086235046387
1777914753.11528,13490,-0.949279248714447
1777914753.5616329,13531,-2.803758144378662
1777914753.6655512,13540,-1.9173650741577148
1777914754.3424768,13603,-1.5843963623046875
1777914754.7343216,13639,-2.014371871948242
1777914754.800846,13645,-1.5554571151733398
1777914755.0007298,13663,-1.2758522033691406
1777914755.1537821,13677,-1.834686040878296
1777914755.4008973,13700,-1.8623881340026855
1777914755.5212312,13711,-1.5517961978912354
1777914755.5644453,13715,-1.9514856338500977
1777914755.6077867,13719,-0.5680725574493408
1777914755.8280733,13739,-1.5042568445205688
1777914756.3690495,13789,-1.6855484247207642
1777914756.6204083,13812,-1.546830177307129
1777914757.8501973,13923,-1.492516040802002
1777914758.0858996,13945,-0.7823405265808105
1777914758.4619346,13980,-1.3534598350524902
1777914758.6451304,13997,-1.92264986038208
1777914759.2033715,14049,-0.2474338263273239
1777914759.2987554,14058,-2.3322885036468506
1777914759.3199449,14060,-1.7136571407318115
1777914759.9016457,14113,-2.388590097427368
1777914760.159991,14137,-0.8766399025917053
1777914760.3299222,14153,-0.9297456741333008
1777914760.5471575,14173,-1.160603642463684
1777914761.4501345,14257,-1.5607833862304688
1777914762.7538903,14377,-1.1549745798110962
1777914763.0452893,14404,-0.07568340003490448
1777914764.0198882,14490,-1.061734914779663
1777914764.4195902,14527,-1.8135794401168823
1777914764.4417205,14529,-1.4404220581054688
1777914764.6585891,14549,-0.831635057926178
1777914765.01131,14582,-1.1830322742462158
1777914766.3328924,14703,-1.1619477272033691
1777914766.7365978,14740,-1.4050965309143066
1777914766.7811491,14744,-1.0403928756713867
1777914766.846877,14750,-1.209689974784851
1777914767.0539975,14769,-0.8717790842056274
1777914767.1506147,14778,-1.174790859222412
1777914767.2050447,14783,-1.1236028671264648
