wall_time,step,reward
1777914712.575761,0,0.0
1777914712.5991423,136,-185.0143280029297
1777914712.616903,241,-268.8905334472656
1777914712.6324832,330,-54.99528121948242
1777914712.6575003,482,-245.42971801757812
1777914712.674138,573,-142.45741271972656
1777914712.6901736,666,-288.8112487792969
1777914712.7229948,806,-469.9580383300781
1777914712.752327,939,-83.68798828125
1777914712.778121,1086,-72.4737319946289
1777914712.7958887,1186,-172.15782165527344
1777914712.8106294,1264,-12.914651870727539
1777914712.833742,1398,-55.844276428222656
1777914712.855441,1523,-101.77730560302734
1777914712.879249,1663,-170.27359008789062
1777914712.8940506,1744,-213.31153869628906
1777914712.9252307,1929,-98.02497100830078
1777914712.9432268,2030,-424.72015380859375
1777914712.962536,2142,-204.54376220703125
1777914712.984444,2272,-112.61808013916016
1777914713.0067294,2393,-41.2980842590332
1777914713.023435,2481,-291.2333984375
1777914713.050797,2639,-249.02761840820312
1777914713.0664175,2728,-402.9881286621094
1777914713.0826333,2822,-380.5596923828125
1777914713.1012092,2926,-128.2163848876953
1777914713.1150007,2998,-19.911588668823242
1777914713.1489577,3192,-216.18238830566406
1777914713.1621666,3265,-154.2562713623047
1777914713.1780658,3354,-100.36719512939453
1777914713.194996,3448,-260.7020263671875
1777914713.217643,3579,-465.7350158691406
1777914713.233124,3667,-65.67760467529297
1777914713.2521403,3779,-84.89322662353516
1777914713.270062,3885,-93.59026336669922
1777914713.2883222,3992,-146.03857421875
1777914713.3055136,4090,-80.5453109741211
1777914713.3236244,4197,-207.2855682373047
1777914713.3368974,4271,-68.5220718383789
1777914713.3548338,4371,-430.3325500488281
1777914713.3774261,4501,-426.5565490722656
1777914713.393396,4591,-355.3592834472656
1777914713.4121847,4697,-294.2554626464844
1777914713.425816,4769,-95.94979095458984
1777914713.447558,4887,-69.97053527832031
1777914713.4656546,4986,-272.2046203613281
1777914713.4805446,5070,-445.9676513671875
1777914713.5010784,5188,-292.6590576171875
1777914713.5242395,5327,-451.5500183105469
1777914713.5458124,5452,-139.86257934570312
1777914713.5624306,5544,-185.52346801757812
1777914713.579367,5635,-324.5767822265625
1777914713.601489,5764,-201.34820556640625
1777914713.6191642,5866,-509.9904479980469
1777914713.645824,6024,-166.26266479492188
1777914713.663311,6120,-390.4602966308594
1777914713.6831658,6236,-80.31134033203125
1777914713.7058012,6370,-248.0432586669922
1777914713.7260082,6483,-92.72254943847656
1777914713.7441788,6586,-76.86991119384766
1777914713.7659874,6717,-212.28085327148438
1777914713.782519,6810,-82.0274658203125
1777914713.8005555,6913,-149.6546630859375
1777914713.8159318,6996,-59.01074981689453
1777914713.833236,7095,-300.1195068359375
1777914713.85004,7189,-255.7177276611328
1777914713.8660624,7285,-398.3649597167969
1777914713.8807275,7370,-188.78140258789062
1777914713.9027426,7502,-477.2594909667969
1777914713.9168313,7582,-0.30166831612586975
1777914713.930374,7660,-161.95623779296875
1777914713.9418192,7726,-52.40233612060547
1777914713.9720345,7912,-377.939208984375
1777914713.989725,8016,-275.14178466796875
1777914714.0029752,8093,-61.00959396362305
1777914714.021559,8188,-72.5562515258789
1777914714.0463417,8330,-283.4319763183594
1777914714.0639768,8425,-111.58668518066406
1777914714.0786574,8503,-50.645606994628906
1777914714.1000185,8625,-136.67176818847656
1777914714.1240156,8761,-144.6313018798828
1777914714.142124,8863,-214.28240966796875
1777914714.1610508,8967,-195.2660675048828
1777914714.1841826,9093,-228.66482543945312
1777914714.204244,9207,-96.05305480957031
1777914714.2220855,9309,-440.6337890625
1777914714.241252,9418,-334.8959655761719
1777914714.2590325,9518,-436.8151550292969
1777914714.2834206,9662,-56.365577697753906
1777914714.3005722,9758,-51.16015625
1777914714.317783,9856,-343.00848388671875
1777914714.3407419,9992,-139.53811645507812
1777914716.1465652,10087,-57.182533264160156
1777914721.0294573,10535,-77.7190170288086
1777914731.872343,11535,-88.18880462646484
1777914741.0577905,12380,-273.0906677246094
1777914751.911584,13380,-77.36468505859375
1777914762.7856064,14380,-51.41305923461914
1777914773.752213,15380,-52.79671859741211
1777914784.6746626,16380,-53.47788619995117
1777914795.5309322,17380,-62.43770980834961
1777914806.4509609,18380,-57.41346740722656
1777914817.3405898,19380,-19.978763580322266
1777914820.5867753,19674,-43.242435455322266
1777914829.1610947,20416,-535.3770751953125
1777914835.0030603,20952,-206.5100555419922
1777914840.9933112,21498,-97.45635986328125
1777914845.4918962,21908,-216.7621612548828
1777914850.0685048,22329,-429.68170166015625
1777914855.2301674,22803,-202.98562622070312
1777914866.1107,23803,-78.31793212890625
1777914877.0389411,24803,-65.37102508544922
1777914886.1822724,25630,-333.5046081542969
1777914891.8669832,26144,-94.26813507080078
1777914900.5403996,26934,119.46054077148438
1777914911.5233502,27934,-20.738052368164062
1777914922.4771018,28934,-109.09246063232422
1777914927.1723497,29362,207.38177490234375
1777914936.7707872,30200,113.16304016113281
1777914940.9983368,30583,-79.99210357666016
1777914947.4186215,31167,159.34776306152344
1777914958.3819113,32167,-65.02589416503906
1777914967.5644462,32991,-312.0096740722656
1777914977.892014,33918,114.25375366210938
1777914986.671321,34704,109.9341049194336
1777914993.0744865,35285,184.2224884033203
1777914997.993522,35732,220.31422424316406
1777915009.04118,36732,-18.611169815063477
1777915020.041234,37732,-29.1729679107666
1777915031.0824683,38732,-21.339658737182617
1777915042.29128,39732,49.27847671508789
1777915053.7299778,40732,45.12626647949219
1777915064.7282584,41732,89.63810729980469
1777915072.5246127,42440,106.3485107421875
1777915083.5067532,43440,34.77082443237305
1777915094.5314128,44440,-13.550556182861328
1777915100.2823052,44966,-126.53084564208984
1777915109.390815,45794,128.0823974609375
1777915120.3170216,46794,18.102231979370117
1777915127.3105097,47430,192.38327026367188
1777915138.2792659,48430,0.3797655999660492
1777915149.3023798,49430,11.013404846191406
1777915160.8310676,50430,-26.685325622558594
1777915172.1431086,51430,29.596797943115234
1777915177.6640382,51925,6.616504669189453
1777915186.6435423,52730,175.2294158935547
1777915197.6914718,53730,24.223840713500977
1777915203.817135,54282,165.27359008789062
1777915208.689822,54718,-48.303218841552734
1777915218.6818984,55611,141.1133575439453
1777915229.9137437,56611,39.51377487182617
1777915233.3536322,56921,-36.96154022216797
1777915239.4637592,57472,-129.97064208984375
1777915243.819873,57863,263.350830078125
1777915249.1503744,58348,-38.158878326416016
1777915252.6361122,58665,-200.11827087402344
1777915255.0224302,58879,-225.4404754638672
1777915257.4023023,59093,-114.27178955078125
1777915260.8831482,59403,-125.32968139648438
1777915262.7222145,59568,4.015632629394531
1777915264.3851116,59720,-104.01612091064453
1777915267.12505,59966,-266.8876647949219
1777915269.341839,60128,-0.5800580382347107
1777915273.2981186,60486,-158.8878631591797
1777915284.3529239,61486,23.371681213378906
1777915286.0538754,61639,7.385893821716309
1777915297.9367683,62639,-21.644794464111328
1777915310.1982198,63639,-42.16725540161133
1777915321.6758869,64639,-44.03841781616211
1777915332.8045578,65639,-38.1537971496582
1777915343.8565686,66639,-29.49344253540039
1777915349.929326,67189,241.46728515625
1777915358.5102105,67966,171.681640625
1777915369.7235518,68966,3.9839701652526855
1777915380.9110103,69966,-39.07423782348633
1777915392.5661633,70966,-47.08488464355469
1777915402.0796425,71825,184.95663452148438
1777915406.3659651,72207,251.15525817871094
1777915414.267041,72897,209.087890625
1777915425.8225496,73897,49.711326599121094
1777915436.5511284,74833,126.45438385009766
1777915447.9936025,75833,65.6036148071289
1777915459.3877146,76833,-18.88676643371582
1777915470.6405082,77833,11.171059608459473
1777915473.2941542,78068,262.87493896484375
1777915485.0393448,79068,17.345003128051758
1777915490.3887112,79537,196.4630889892578
1777915500.9114602,80435,170.4440155029297
1777915512.1621218,81435,56.503849029541016
1777915517.9845235,81946,232.6453857421875
1777915529.1684098,82946,25.282243728637695
1777915540.484425,83946,43.87226486206055
1777915551.8385549,84946,88.7018051147461
1777915554.9288182,85218,234.653564453125
1777915566.2558372,86218,-11.89743423461914
1777915577.6811185,87218,58.50077438354492
1777915589.0008981,88218,48.27720260620117
1777915600.3762028,89218,48.55621337890625
1777915612.1206179,90218,5.472468376159668
1777915613.6822343,90354,38.7491455078125
1777915616.8087814,90629,239.4629669189453
1777915628.2038374,91629,17.002565383911133
1777915639.5553362,92629,-35.633758544921875
1777915650.9365425,93629,46.62934494018555
1777915662.1135352,94629,64.18270874023438
1777915673.5388331,95629,50.451995849609375
1777915680.8950133,96276,137.55995178222656
1777915692.2250524,97272,89.43351745605469
1777915702.6564379,98195,190.08319091796875
1777915714.0206094,99195,25.04332733154297
1777915725.8183627,100195,0.12240282446146011
1777915737.0957634,101195,80.5554428100586
1777915748.4673026,102195,33.76971435546875
1777915759.808427,103195,-4.821925640106201
1777915771.0988562,104195,-4.602382183074951
1777915776.1403742,104639,239.5738525390625
1777915783.305873,105275,166.741455078125
1777915790.6875434,105927,211.56312561035156
1777915801.0557559,106838,179.27101135253906
1777915803.4698403,107051,14.59251594543457
1777915814.7892354,108051,-31.05985450744629
1777915826.0929804,109051,74.65609741210938
1777915837.8760867,110051,26.720617294311523
1777915846.3977733,110804,190.81605529785156
1777915856.336605,111677,136.36158752441406
1777915867.7390532,112677,97.02893829345703
1777915877.9885013,113580,208.77513122558594
1777915884.9897647,114192,215.7559356689453
1777915896.3659928,115192,-21.17302894592285
1777915908.036006,116192,86.68917083740234
1777915919.7425692,117192,23.385221481323242
1777915922.9975338,117455,279.2754211425781
1777915934.7952511,118455,21.578628540039062
1777915937.6680577,118705,5.2837443351745605
1777915941.4495878,119022,250.60012817382812
1777915948.3541133,119627,219.59530639648438
1777915952.4948413,119987,256.83819580078125
1777915962.5032363,120795,182.03953552246094
1777915973.6797352,121795,23.74276351928711
1777915985.1385825,122795,27.661640167236328
1777915996.6365306,123795,50.818153381347656
1777916004.124517,124457,177.8877410888672
1777916009.159782,124906,260.239501953125
1777916013.1988754,125263,258.3345642089844
1777916015.8895056,125500,252.2777862548828
1777916019.0306957,125780,267.4393310546875
1777916023.2225113,126149,222.3069610595703
1777916034.4838724,127149,43.16858673095703
1777916036.4155214,127314,24.716598510742188
1777916041.5922408,127769,201.631103515625
1777916045.427464,128104,224.6732635498047
1777916052.3302956,128702,209.07046508789062
1777916058.2707067,129224,246.28282165527344
1777916070.104699,130224,89.9095230102539
1777916081.4971232,131224,94.05622100830078
1777916092.8875172,132224,52.089622497558594
1777916097.1056237,132591,252.39207458496094
1777916105.2216444,133287,224.16493225097656
1777916116.6874747,134287,0.22465959191322327
1777916126.9017794,135181,125.92921447753906
1777916129.177036,135383,8.169500350952148
1777916131.4823039,135584,-216.58924865722656
1777916136.852502,136048,265.1849060058594
1777916139.2530777,136260,257.98187255859375
1777916142.5247276,136541,221.52313232421875
1777916144.4031265,136711,268.2663879394531
1777916155.6731677,137711,8.751261711120605
1777916166.9825108,138711,7.020724296569824
1777916169.3836374,138922,-38.54834747314453
1777916170.5665839,139021,-19.567432403564453
1777916174.0763688,139324,262.33758544921875
1777916179.0818655,139772,236.3192901611328
1777916190.779138,140772,42.138465881347656
